aX,aY,aZ,gX,gY,gZ
-0.083,-0.009,-0.219,-91.309,45.654,-279.236
-0.190,0.078,-0.265,-73.669,55.786,-277.283
-0.222,0.172,-0.289,-61.218,54.321,-262.268
-0.177,0.233,-0.250,-62.195,48.401,-236.694
-0.012,0.184,-0.307,-75.623,47.058,-211.365
0.233,0.126,-0.353,-91.858,54.932,-201.660
0.420,0.052,-0.427,-99.365,63.843,-206.909
0.521,-0.149,-0.495,-98.389,67.993,-214.539
0.526,-0.242,-0.557,-90.881,68.909,-222.290
0.488,-0.330,-0.681,-70.251,69.397,-222.595
0.456,-0.477,-0.753,-50.293,63.416,-218.262
0.512,-0.579,-0.816,-33.630,51.697,-211.487
0.629,-0.647,-0.822,-17.334,40.710,-198.608
0.753,-0.637,-0.784,-4.639,32.471,-178.589
0.819,-0.523,-0.693,4.517,27.161,-152.710
0.890,-0.380,-0.608,5.737,26.306,-127.075
0.923,-0.322,-0.585,-0.977,29.846,-105.286
0.973,-0.378,-0.658,-10.376,36.804,-89.966
0.969,-0.442,-0.734,-15.564,42.664,-80.933
0.942,-0.488,-0.820,-14.099,42.969,-73.853
0.915,-0.547,-0.879,-6.104,37.842,-63.477
0.857,-0.521,-0.896,5.249,27.649,-49.011
0.837,-0.422,-0.889,19.470,14.832,-31.738
0.836,-0.355,-0.855,31.738,1.099,-12.939
0.837,-0.244,-0.770,36.377,-10.986,7.568
0.859,-0.060,-0.663,35.522,-16.541,29.602
0.898,0.129,-0.595,32.837,-15.259,45.471
0.888,0.241,-0.554,28.931,-10.437,50.476
0.833,0.354,-0.530,25.330,0.000,43.396
0.802,0.454,-0.535,23.071,12.451,31.921
0.776,0.454,-0.554,20.813,20.691,21.973
0.680,0.440,-0.580,16.724,24.719,15.442
0.584,0.427,-0.652,15.564,24.719,12.268
0.564,0.368,-0.703,17.212,19.897,11.719
0.604,0.310,-0.708,19.653,12.390,12.573
0.646,0.283,-0.706,26.550,4.822,13.184
0.659,0.204,-0.667,36.255,-0.977,15.869
0.698,0.175,-0.634,44.373,-2.747,23.132
0.735,0.149,-0.603,49.072,-5.249,30.090
0.791,0.057,-0.597,52.673,-7.080,36.133
0.843,-0.066,-0.580,56.946,-7.324,40.894
0.926,-0.183,-0.554,63.782,-4.639,47.852
0.973,-0.280,-0.547,71.655,0.549,57.007
0.957,-0.361,-0.555,80.994,7.629,67.444
0.923,-0.405,-0.549,95.825,15.259,77.026
0.865,-0.460,-0.543,113.098,20.996,87.341
