aX,aY,aZ,gX,gY,gZ
-0.448,0.819,0.747,36.133,45.227,17.456
-0.355,0.784,0.783,31.250,26.001,11.292
-0.276,0.716,0.756,24.841,10.437,6.836
-0.190,0.648,0.723,20.630,1.404,3.174
-0.100,0.595,0.708,19.897,-2.014,1.038
-0.034,0.566,0.678,20.264,-1.465,-0.549
-0.005,0.537,0.616,22.156,0.732,-0.610

-0.301,0.543,1.592,33.813,45.044,184.082
-0.227,0.483,1.518,33.142,50.659,170.593
-0.139,0.446,1.537,37.598,68.604,156.616
0.018,0.433,1.611,44.861,91.858,144.836
0.095,0.427,1.693,49.011,111.328,140.137
0.160,0.395,1.864,46.936,124.573,138.672
0.168,0.462,1.931,37.109,133.240,140.198
0.077,0.450,1.992,26.917,142.029,147.278
-0.085,0.500,2.003,11.658,146.606,141.724
-0.190,0.647,1.969,-4.578,150.024,122.375
-0.156,0.710,1.870,-17.456,155.640,103.088
0.022,0.674,1.717,-27.100,160.217,86.182
0.201,0.594,1.515,-33.508,162.842,77.576
0.266,0.462,1.271,-31.189,171.814,77.332
0.260,0.388,1.129,-19.226,192.871,73.059
0.153,0.334,1.130,-3.235,219.116,64.087
-0.069,0.316,1.120,11.108,237.183,52.734
-0.232,0.302,1.120,22.156,241.821,40.405
-0.250,0.203,1.142,31.433,236.694,28.198
-0.180,0.059,1.128,37.598,223.450,14.832
-0.092,-0.062,1.129,41.870,207.397,3.784
-0.047,-0.091,1.178,49.988,191.711,-1.282
0.024,-0.165,1.302,64.148,174.988,-2.991
0.100,-0.196,1.419,74.951,153.625,-0.610
0.143,-0.213,1.595,84.167,135.742,8.179
0.172,-0.114,1.805,94.727,119.812,20.874
0.072,0.005,2.018,99.182,100.891,37.598
-0.041,0.226,2.286,95.398,77.820,53.284
-0.092,0.568,2.711,82.275,54.138,66.345
-0.162,0.992,3.066,55.481,31.189,76.660
-0.331,1.304,3.251,15.076,10.742,80.261
-0.640,1.456,3.280,-33.325,-6.653,76.294
-1.015,1.403,3.011,-85.693,-14.099,62.683
-1.217,1.102,2.543,-131.409,-6.042,31.921
-1.098,0.708,1.884,-162.964,16.235,-10.803
-0.869,0.353,1.343,-177.612,42.114,-52.368
-0.894,-0.023,0.939,-175.903,52.856,-81.299
-0.568,-0.040,0.908,-171.082,57.434,-104.492
-0.470,-0.083,1.001,-170.227,40.039,-109.131
-0.408,-0.167,1.220,-176.514,9.949,-95.825
-0.424,-0.139,1.385,-196.533,-25.574,-84.595
-0.581,-0.108,1.509,-221.802,-60.608,-76.111
-0.789,-0.141,1.512,-245.911,-90.698,-72.083
-1.019,-0.131,1.356,-268.433,-119.263,-78.308
-1.194,-0.179,1.130,-284.668,-146.545,-94.910
-1.377,-0.259,0.859,-287.231,-173.096,-116.882
-1.490,-0.385,0.724,-271.301,-182.739,-142.761
