aX,aY,aZ,gX,gY,gZ
1.213,-0.270,-0.158,207.886,-235.779,130.005
1.131,-0.269,-0.191,209.778,-250.183,128.235
0.959,-0.332,-0.195,208.374,-262.207,132.202
0.802,-0.365,-0.114,198.792,-262.085,140.625
0.621,-0.292,-0.062,178.833,-244.995,146.362
0.545,-0.156,-0.077,160.217,-221.375,147.644
0.600,-0.034,-0.033,154.175,-205.505,144.348
0.704,0.062,0.026,155.823,-205.688,136.780
0.790,0.152,0.075,160.645,-220.093,127.441
0.767,0.232,0.081,165.588,-244.446,119.629
0.678,0.315,0.075,169.556,-273.010,112.976
0.492,0.429,0.067,171.753,-298.950,104.675
0.193,0.540,0.040,169.250,-319.580,96.985
-0.094,0.689,0.017,163.147,-326.660,94.849
-0.507,0.808,-0.025,156.738,-318.115,100.586
-0.860,0.841,0.051,152.466,-282.288,113.098
-1.017,0.945,0.181,143.921,-218.445,122.375
-1.005,1.057,0.294,130.676,-142.883,119.690
-0.737,1.176,0.421,123.413,-72.205,108.887
-0.385,1.267,0.514,128.906,-36.133,92.468
-0.046,1.308,0.538,143.677,-46.753,70.129
0.071,1.319,0.536,160.767,-89.478,47.241
-0.168,1.315,0.497,170.654,-133.057,31.738
-0.620,1.330,0.421,173.523,-151.184,24.414
-0.911,1.293,0.404,173.706,-138.123,17.822
-0.892,1.308,0.484,172.180,-100.037,14.282
-0.725,1.301,0.602,169.250,-51.086,18.250
-0.493,1.218,0.768,163.635,-6.104,27.588
-0.304,1.096,0.898,151.550,23.254,32.837
-0.172,1.031,0.916,134.277,28.992,24.292
-0.097,1.033,0.844,118.713,13.977,2.563
-0.101,1.075,0.767,108.948,-9.644,-24.597
-0.136,1.157,0.737,104.736,-29.175,-46.753
-0.106,1.228,0.716,101.807,-35.828,-57.068
-0.010,1.280,0.724,92.041,-28.809,-55.420
0.222,1.352,0.719,70.435,-8.362,-43.091
0.322,1.388,0.703,44.006,17.456,-19.775
0.279,1.438,0.709,16.174,42.908,9.644
0.209,1.412,0.673,-4.883,61.768,34.912
0.108,1.326,0.656,-16.418,65.918,47.424
0.042,1.276,0.659,-24.475,59.937,49.255
-0.016,1.243,0.578,-29.419,50.659,46.387

-0.453,1.933,-0.190,-216.370,103.943,-94.116
-0.518,1.713,-0.174,-162.781,60.364,-114.807
-0.704,1.225,-0.053,-119.934,28.687,-136.414
-0.896,0.914,0.161,-105.774,30.212,-164.062
-0.916,0.749,0.184,-123.901,65.918,-183.655
-0.937,0.647,-0.059,-167.236,124.695,-186.584
-0.582,0.479,-0.395,-216.003,194.336,-189.148
-0.168,0.507,-0.545,-248.474,252.380,-187.866
0.206,0.554,-0.558,-259.827,267.883,-191.284
0.479,0.615,-0.562,-253.174,251.648,-196.838
0.717,0.588,-0.531,-232.544,226.562,-190.369
0.832,0.465,-0.425,-202.881,196.411,-163.025
0.866,0.195,-0.298,-172.485,163.330,-119.507
0.887,-0.179,-0.236,-147.522,131.958,-79.163
0.855,-0.501,-0.259,-126.953,100.586,-56.824
0.764,-0.817,-0.364,-100.403,70.129,-55.786
0.585,-1.109,-0.389,-64.331,46.387,-79.041
0.331,-1.392,-0.339,-30.823,37.292,-123.108
0.317,-1.738,-0.287,-7.568,48.645,-178.101
0.704,-2.008,-0.267,-4.456,72.388,-238.770
1.065,-1.922,-0.180,-23.987,95.154,-290.527
1.376,-1.818,-0.114,-59.692,121.399,-308.899
1.372,-1.445,-0.377,-99.670,174.744,-287.659
1.503,-1.157,-0.575,-137.207,231.750,-275.269
2.112,-0.733,-0.752,-178.589,274.353,-256.104
3.080,0.178,-1.110,-215.393,318.787,-233.582
3.999,1.519,-1.151,-219.421,325.195,-192.200
4.000,2.217,-0.877,-150.818,241.272,-105.835
3.678,1.688,-0.312,-17.883,69.763,26.062
2.517,0.330,-0.018,105.713,-108.337,149.475
1.244,-0.860,-0.077,162.292,-230.774,219.666
0.192,-1.424,-0.330,156.189,-294.617,226.868
-0.618,-1.547,-0.669,123.413,-321.533,188.660
-1.208,-1.431,-0.994,85.388,-318.542,136.169
-1.518,-1.276,-1.198,44.128,-277.588,93.262
-1.454,-0.911,-1.254,1.038,-192.932,59.875
-0.953,-0.813,-1.266,-31.738,-92.163,34.241
-0.338,-0.486,-1.206,-51.392,-12.268,23.682
0.217,-0.097,-1.140,-60.913,28.076,23.743
0.533,0.114,-1.175,-58.105,27.405,32.959
0.622,0.258,-1.313,-44.128,0.732,47.546
0.549,0.359,-1.504,-20.752,-36.682,57.983
0.424,0.359,-1.678,12.451,-76.904,57.556
0.397,0.315,-1.680,51.697,-105.530,43.518
0.476,0.300,-1.490,86.548,-124.390,22.827
