aX,aY,aZ,gX,gY,gZ
0.515,-0.411,1.118,90.881,-27.832,-0.488
0.552,-0.428,1.209,89.417,-18.188,2.258
0.588,-0.461,1.288,84.595,-10.254,6.714
0.603,-0.468,1.307,76.965,-4.395,12.390
0.588,-0.453,1.306,69.885,-2.869,15.991
0.583,-0.434,1.313,65.552,-3.845,18.921
0.553,-0.453,1.289,63.171,-7.629,23.987
0.506,-0.452,1.215,59.082,-13.489,31.616
0.423,-0.494,1.125,54.810,-16.724,40.771
0.410,-0.537,1.030,51.392,-10.498,45.288
0.441,-0.680,1.085,47.302,-1.465,43.823
0.315,-0.643,0.991,42.053,-6.897,32.959
0.238,-0.628,1.049,40.833,-13.062,34.912
0.340,-0.597,0.948,38.574,11.414,28.198
0.450,-0.627,0.919,38.513,7.935,17.273
0.486,-0.632,0.922,40.344,-4.944,6.897
0.437,-0.633,0.945,42.786,-14.648,-3.235
0.411,-0.567,0.901,41.321,-10.193,-11.902
0.386,-0.530,0.855,37.170,-5.676,-14.526
0.390,-0.480,0.858,34.607,0.000,-14.954
0.385,-0.466,0.862,35.217,7.568,-13.611
0.352,-0.483,0.896,34.729,14.099,-10.376
0.378,-0.520,0.946,31.006,22.705,-5.859
0.459,-0.543,1.001,23.193,31.006,-4.089
0.603,-0.581,1.001,15.625,31.982,-5.554
0.731,-0.590,1.002,7.385,15.015,-12.024
0.649,-0.484,1.081,-0.122,-14.282,-18.555
0.598,-0.488,1.052,-0.671,-32.288,-20.874
0.534,-0.449,0.908,-12.146,-44.495,-17.517
0.601,-0.514,0.885,-25.330,-59.204,-11.414
0.678,-0.609,0.999,-46.204,-83.008,-4.089
0.487,-0.330,0.901,-72.327,-106.201,6.348
0.414,-0.255,0.893,-62.317,-102.600,14.160
0.408,-0.355,0.857,-50.659,-100.159,15.686
0.331,-0.387,0.862,-56.091,-106.750,16.602
0.239,-0.443,0.936,-59.692,-108.398,17.090
0.201,-0.368,1.025,-55.847,-95.093,14.465
0.081,-0.439,1.035,-49.622,-77.026,11.414
0.022,-0.500,1.019,-32.349,-41.321,4.089
0.155,-0.504,0.956,-9.094,-7.080,-4.700
0.237,-0.464,0.957,-0.793,2.930,-11.475
0.228,-0.436,0.956,-2.930,0.427,-12.451
0.251,-0.456,0.945,-3.540,-0.122,-12.695
0.267,-0.482,0.924,-4.822,-3.662,-14.648
0.297,-0.467,0.910,-7.141,-7.446,-15.808
0.326,-0.400,0.890,-7.812,-8.972,-14.343
0.289,-0.377,0.824,-6.470,-10.681,-11.047
0.238,-0.424,0.763,-2.075,-10.498,-7.751
0.197,-0.450,0.747,1.648,-8.301,-4.517
0.176,-0.463,0.740,1.587,-4.700,-1.099
0.179,-0.466,0.735,-0.549,1.404,1.404
0.198,-0.487,0.766,-1.038,9.033,3.113
0.214,-0.515,0.822,-1.648,15.564,5.249
0.242,-0.539,0.898,-3.540,17.578,6.409
0.301,-0.528,0.959,-5.188,14.954,7.202
0.347,-0.528,1.002,-5.249,6.409,7.935
0.352,-0.500,0.997,-5.066,-5.005,7.385
0.322,-0.440,0.974,-5.005,-15.076,6.592
0.301,-0.395,0.970,-5.005,-19.226,7.202
0.322,-0.365,0.968,-6.348,-17.944,9.827
0.355,-0.322,0.947,-7.263,-16.479,11.475
0.370,-0.251,0.969,-4.395,-14.893,10.315
0.371,-0.203,1.037,-0.061,-9.888,8.362
0.365,-0.202,1.104,1.404,-2.014,6.836
0.414,-0.142,1.199,2.014,7.446,1.892
0.450,-0.097,1.298,2.258,11.841,-0.427
0.486,-0.126,1.469,2.258,17.700,-0.977
0.522,-0.150,1.644,-1.465,25.757,-2.808
0.522,-0.129,1.754,-10.681,30.090,-3.967
0.511,-0.094,1.829,-21.606,25.818,-3.723
0.484,-0.096,1.877,-31.494,16.663,-0.732
0.440,-0.132,1.877,-42.236,5.005,4.028
0.412,-0.173,1.822,-54.260,-3.540,6.836
0.374,-0.218,1.755,-65.369,-6.409,7.751
0.328,-0.265,1.687,-76.416,-3.967,4.944
0.278,-0.301,1.606,-87.952,5.554,-1.648
0.228,-0.315,1.494,-99.731,20.691,-9.399
0.174,-0.351,1.420,-109.436,41.992,-20.813
0.132,-0.394,1.375,-116.577,69.397,-36.133
0.242,-0.369,1.408,-121.582,100.830,-54.932
0.498,-0.271,1.536,-123.901,128.601,-70.984
0.693,-0.241,1.674,-124.512,142.456,-75.806
0.796,-0.250,1.722,-129.272,145.142,-71.655
0.864,-0.240,1.714,-137.024,142.883,-64.026
0.881,-0.227,1.681,-144.592,140.442,-53.467
0.810,-0.251,1.630,-150.330,141.602,-39.917
0.772,-0.302,1.588,-155.457,142.395,-27.405
0.660,-0.396,1.561,-154.846,143.433,-16.907
0.555,-0.498,1.523,-154.907,148.376,-10.193
0.527,-0.552,1.511,-157.898,156.494,-9.399
0.562,-0.560,1.515,-160.706,162.659,-11.780
0.610,-0.575,1.512,-160.767,161.743,-15.869
0.633,-0.576,1.500,-157.776,152.893,-20.447
0.608,-0.554,1.452,-154.663,140.442,-22.339
0.595,-0.536,1.370,-153.442,129.822,-20.874
0.552,-0.499,1.310,-152.710,126.160,-19.409
0.618,-0.461,1.231,-152.344,133.118,-16.724
0.685,-0.444,1.202,-151.978,135.315,-12.756
0.677,-0.394,1.154,-149.780,129.639,-7.568
0.620,-0.365,1.089,-146.301,124.756,-0.427
0.622,-0.337,1.049,-143.005,128.357,7.263
0.629,-0.313,1.005,-138.245,134.827,15.930
0.620,-0.320,0.970,-132.141,136.902,24.353
0.612,-0.335,0.969,-126.221,137.634,29.968

0.101,-0.731,1.867,-23.987,24.841,11.353
0.110,-0.751,1.856,-40.222,14.404,7.385
0.125,-0.720,1.779,-54.382,2.075,0.122
0.092,-0.677,1.714,-62.561,-9.583,-4.578
0.040,-0.648,1.663,-67.322,-18.005,-5.554
0.014,-0.653,1.634,-71.655,-19.043,-4.639
0.042,-0.659,1.658,-74.707,-13.672,-2.991
0.089,-0.674,1.686,-77.454,-9.033,-1.343
0.122,-0.685,1.697,-81.055,-8.850,0.427
0.118,-0.677,1.682,-85.327,-11.353,2.441
0.092,-0.677,1.639,-90.393,-12.451,5.615
0.062,-0.697,1.601,-95.581,-9.460,10.315
0.069,-0.721,1.606,-99.854,-2.441,14.282
0.085,-0.751,1.620,-104.248,4.639,17.334
0.099,-0.780,1.626,-108.215,7.324,18.921
0.082,-0.821,1.628,-110.352,6.226,18.494
0.063,-0.832,1.636,-113.159,4.028,15.869
0.004,-0.859,1.631,-117.859,2.014,13.916
-0.011,-0.885,1.622,-122.498,-0.305,12.146
-0.010,-0.895,1.606,-127.686,-1.648,10.193
-0.015,-0.907,1.568,-132.874,-3.540,7.629
-0.009,-0.913,1.528,-137.878,-4.883,5.493
0.018,-0.912,1.493,-142.578,-4.761,3.845
0.018,-0.911,1.436,-146.179,-5.066,2.808
-0.012,-0.898,1.365,-150.818,-6.409,1.343
-0.044,-0.881,1.298,-155.457,-5.859,0.366
-0.044,-0.889,1.248,-156.799,-1.648,0.366
-0.026,-0.889,1.209,-157.349,5.188,0.061
0.013,-0.852,1.157,-158.386,12.817,1.404
-0.037,-0.839,1.073,-158.264,17.395,4.700
0.013,-0.819,1.104,-157.532,20.081,5.737
-0.474,-0.714,0.818,-157.166,25.330,4.761
-0.339,-0.414,1.070,-142.029,84.656,-1.160
-0.359,-0.457,0.996,-122.253,153.442,-1.892
-0.418,-0.397,1.450,-91.614,267.456,-18.005
0.165,-0.321,0.790,-69.397,404.419,-33.142
0.673,-0.862,0.263,-48.889,387.024,-27.954
0.827,-1.044,0.430,-25.452,245.850,-8.301
0.732,-1.187,0.654,-54.382,116.943,18.555
0.535,-1.120,0.774,-112.793,20.508,36.133
0.360,-0.775,0.760,-156.067,-33.020,35.583
0.134,-0.661,0.584,-166.382,-45.959,23.254
-0.135,-0.555,0.404,-161.072,-45.410,19.897
-0.529,-0.496,0.203,-155.945,-32.288,19.348
-0.825,-0.424,-0.094,-147.400,1.709,18.433
-0.980,-0.452,-0.346,-129.639,62.683,15.991
-0.712,-0.482,-0.343,-109.741,123.230,-3.479
-0.308,-0.278,-0.124,-104.919,136.353,-25.879
-0.010,-0.145,-0.067,-103.210,113.342,-32.898
-0.051,-0.177,0.021,-83.069,96.558,-29.968
-0.020,-0.062,0.041,-70.313,105.835,-27.710
0.201,0.219,0.053,-59.082,128.174,-22.766
0.406,0.082,-0.124,-31.860,130.615,-17.090
0.509,-0.073,-0.236,-24.536,98.083,-6.897
0.576,0.035,-0.158,-43.701,53.162,7.812
0.565,0.272,0.001,-63.904,15.320,21.240
0.572,0.431,0.122,-68.115,-4.944,24.536
0.493,0.301,0.186,-57.007,-24.353,25.269
0.375,0.285,0.188,-46.570,-41.138,41.687
0.273,0.258,0.202,-40.283,-46.875,61.584
0.202,0.190,0.263,-36.072,-50.415,71.045
0.129,0.175,0.296,-32.776,-51.147,70.496
0.012,0.211,0.358,-31.799,-52.979,60.059
-0.072,0.216,0.455,-28.687,-45.593,45.959
-0.093,0.162,0.530,-23.560,-23.804,33.325
-0.016,0.128,0.594,-19.104,5.005,20.935
0.111,0.159,0.601,-18.616,28.015,7.385
0.225,0.228,0.604,-21.606,38.208,-3.723
0.331,0.324,0.557,-23.132,41.931,-11.047
0.404,0.428,0.541,-21.179,39.368,-15.015
0.498,0.454,0.538,-18.188,29.663,-14.587
0.594,0.499,0.518,-14.893,20.142,-8.606
0.638,0.515,0.551,-14.709,10.376,-2.686
0.651,0.530,0.583,-12.329,4.395,7.996
0.647,0.493,0.636,-6.470,0.916,21.790
0.631,0.430,0.700,-1.160,-4.761,34.851
0.597,0.366,0.733,0.549,-13.794,43.579
0.508,0.299,0.756,-0.061,-25.757,46.814
0.396,0.253,0.780,-0.793,-33.752,47.668
0.276,0.215,0.762,-2.930,-36.438,46.326
0.181,0.214,0.728,-7.690,-34.241,40.894
0.117,0.248,0.688,-12.329,-27.893,33.691
0.064,0.284,0.611,-15.808,-20.264,25.818
0.042,0.347,0.551,-17.273,-10.071,18.127
0.058,0.431,0.512,-15.625,2.319,10.498
0.101,0.460,0.500,-11.963,13.855,5.005
0.166,0.459,0.512,-6.714,22.461,5.310
0.231,0.449,0.504,-2.197,28.076,7.385
0.247,0.454,0.538,1.526,27.222,9.216
0.277,0.442,0.604,4.333,21.851,11.169
0.305,0.408,0.632,6.836,20.508,14.587
0.327,0.363,0.675,8.667,18.005,17.334
0.339,0.335,0.700,7.751,12.268,18.738
0.333,0.327,0.718,6.226,5.005,16.785
0.281,0.341,0.712,4.883,-1.648,13.000
0.225,0.333,0.694,4.517,-6.470,8.179
0.172,0.330,0.671,4.028,-6.409,3.479
0.145,0.355,0.661,3.235,-1.892,-0.488
0.143,0.377,0.641,2.014,5.615,-2.808
0.168,0.420,0.636,1.587,13.489,-3.357
0.218,0.435,0.653,3.601,19.226,-3.906
0.273,0.426,0.662,7.141,19.775,-4.517
0.321,0.401,0.674,9.338,14.404,-4.578
0.342,0.388,0.691,10.193,5.188,-3.967
0.336,0.392,0.674,10.376,-3.418,-3.540
0.300,0.404,0.642,10.315,-9.216,-3.845
0.274,0.412,0.626,11.108,-12.451,-3.601
0.260,0.407,0.604,12.634,-10.925,-3.296
0.262,0.406,0.597,13.733,-7.080,-3.174
0.281,0.401,0.604,14.587,-3.845,-2.808
0.299,0.384,0.607,15.625,0.488,-2.380
