aX,aY,aZ,gX,gY,gZ
0.053,0.543,0.355,-155.151,38.269,-3.662
0.080,0.538,0.335,-151.672,29.907,-0.488

0.374,-0.372,2.165,-48.706,-19.836,9.155
0.363,-0.402,2.298,-66.528,-31.677,14.526
0.296,-0.459,2.361,-85.815,-42.358,18.555
0.183,-0.457,2.329,-108.154,-51.941,18.921
0.091,-0.407,2.214,-132.446,-59.753,13.977
0.076,-0.361,2.079,-153.625,-66.406,5.554
0.077,-0.310,1.957,-169.922,-73.242,-2.197
0.084,-0.278,1.863,-180.481,-81.055,-9.338
0.096,-0.245,1.764,-187.439,-89.905,-16.968
0.068,-0.210,1.681,-194.092,-99.426,-23.499
0.037,-0.179,1.599,-200.928,-105.286,-27.100
0.009,-0.166,1.553,-206.055,-104.736,-27.954
-0.001,-0.203,1.523,-208.618,-98.633,-27.771
-0.039,-0.160,1.539,-211.853,-86.975,-23.804
-0.031,-0.210,1.609,-219.543,-70.313,-21.057
0.021,-0.245,1.643,-233.093,-54.810,-16.235
0.027,-0.258,1.621,-249.390,-47.302,-14.771
0.022,-0.247,1.523,-263.184,-51.392,-17.761
-0.050,-0.278,1.432,-272.827,-66.284,-25.757
-0.087,-0.242,1.298,-277.405,-79.651,-36.865
-0.051,-0.239,1.176,-278.015,-86.853,-48.523
-0.036,-0.216,1.019,-280.640,-89.355,-55.908
-0.053,-0.217,0.834,-286.377,-80.750,-57.983
-0.116,-0.192,0.633,-294.067,-61.584,-58.533
-0.099,-0.139,0.479,-300.171,-36.011,-59.814
-0.062,-0.092,0.394,-302.368,-10.864,-60.364
-0.030,-0.057,0.341,-302.246,10.437,-57.556
0.033,-0.045,0.295,-302.368,30.334,-50.354
-0.015,-0.065,0.148,-303.589,45.410,-41.870
0.109,-0.095,0.055,-304.504,52.368,-36.682
0.118,-0.057,-0.061,-302.979,42.908,-35.217
0.093,0.013,-0.180,-297.363,23.437,-35.095
0.034,0.047,-0.267,-289.429,6.592,-35.767
0.031,0.070,-0.365,-278.625,1.282,-37.231
0.110,0.135,-0.479,-269.531,0.488,-37.292
0.164,0.214,-0.543,-258.728,-4.761,-34.363
0.112,0.276,-0.591,-243.652,-12.390,-27.893
0.042,0.306,-0.624,-227.112,-16.602,-18.555
-0.058,0.293,-0.653,-211.731,-15.442,-10.498
-0.138,0.278,-0.716,-201.355,-9.338,-8.057
-0.175,0.299,-0.795,-194.031,-0.549,-9.644
-0.184,0.336,-0.883,-185.547,7.751,-12.878
-0.146,0.360,-0.953,-174.561,14.282,-16.052
-0.068,0.392,-1.026,-162.598,19.287,-16.724
0.015,0.477,-1.103,-151.001,18.677,-15.137
0.076,0.547,-1.187,-137.512,11.475,-11.536
0.116,0.598,-1.286,-120.605,-3.479,-5.310
0.098,0.644,-1.374,-101.013,-26.306,0.793
0.055,0.652,-1.456,-79.834,-48.401,6.226
-0.036,0.667,-1.485,-56.641,-65.430,8.179
-0.097,0.694,-1.460,-34.363,-67.688,7.874
-0.143,0.727,-1.410,-16.663,-54.016,6.592
-0.176,0.752,-1.320,-3.845,-30.579,5.005
-0.183,0.769,-1.207,7.385,-3.357,4.639
